"R0000100","R0070400","R0070500","R0071000","R0357900","R0358100","R0358300","R0358500","R0358900","R0359100","R0536300","R0536401","R0536402","R1204700","R1205300","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
1,5,4,3,1,0,1,0,0,-4,2,9,1981,-3,1,1,16,8,16,8,4,85,-4,-4,-4,-4,350,470
2,1,4,2,0,-4,0,-4,0,-4,1,7,1982,-4,2,1,17,15,14,15,2,-3,-4,-4,-4,-4,460,440
3,4,2,3,0,-4,1,0,0,-4,2,9,1983,10200,4,1,-3,12,-4,12,2,-4,-4,-4,-4,-4,-4,-4
4,5,5,4,0,-4,1,1,0,-4,2,2,1981,-1500,4,1,12,12,-4,12,2,74,-4,-4,-4,-4,-4,-4
5,3,1,2,1,5,1,1,1,0,1,10,1982,-3,1,1,12,12,12,12,2,75,-4,-4,-4,-4,-4,-4
6,5,3,5,0,-4,0,-4,0,-4,2,1,1982,7500,4,1,-3,12,-4,12,2,55,-4,-4,-4,-4,-4,-4
7,5,2,3,0,-4,0,-4,0,-4,1,4,1983,7500,4,1,-3,12,-4,12,2,-4,-4,-4,-4,-4,-4,-4
8,2,1,-2,0,-4,0,-4,0,-4,2,6,1981,-3,1,1,6,12,6,12,4,81,-4,-4,-4,-4,620,620
9,2,3,-2,0,-4,0,-4,0,-4,1,10,1982,-3,1,1,6,12,6,12,4,85,-4,-4,-4,-4,380,460
10,1,1,1,0,-4,0,-4,0,-4,1,3,1984,-3,1,1,6,12,6,12,4,90,-4,-4,-4,-4,600,560
11,5,4,4,1,0,1,0,0,-4,2,6,1982,17500,4,1,12,14,-4,14,2,80,-4,-4,-4,-4,-4,-4
12,3,2,3,0,-4,0,-4,0,-4,1,10,1981,17500,2,1,-3,12,12,12,2,63,-4,-4,-4,-4,-4,-4
13,1,-2,1,0,-4,0,-4,0,-4,1,11,1984,-4,4,1,-3,6,-4,6,2,59,-4,-4,-4,-4,-4,-4
14,1,1,1,0,-4,0,-4,0,-4,1,7,1980,17500,1,1,12,12,12,12,2,-4,-4,-4,-4,-4,-4,-4
15,3,1,1,0,-4,0,-4,0,-4,2,1,1983,-4,1,1,13,12,13,12,2,3,-4,-4,-4,-4,-4,-4
16,3,2,2,1,0,1,2,0,-4,1,2,1982,17500,4,1,10,11,-4,11,2,60,-4,-4,-4,-4,-4,-4
17,3,-2,3,1,0,0,-4,1,0,2,11,1981,7500,2,1,-3,14,10,14,2,-3,-4,-4,-4,-4,-4,-4
18,4,5,5,0,-4,1,0,0,-4,1,2,1982,3750,4,1,10,15,-4,15,1,-4,-4,-4,-4,-4,-4,-4
19,5,1,3,0,-4,0,-4,0,-4,1,4,1984,3750,4,1,10,15,-4,15,1,19,-4,-4,-4,-4,-4,-4
20,3,4,1,0,-4,1,0,0,-4,1,12,1980,3750,4,1,10,11,-4,11,1,-4,-4,-4,-4,-4,-4,-4
21,2,3,5,1,9,1,4,1,0,1,8,1982,7500,4,1,11,13,-4,13,2,56,-4,-4,-4,-4,-4,-4
22,5,3,5,1,30,1,2,0,-4,1,6,1982,7500,4,1,12,11,-4,11,2,-4,-4,-4,-4,-4,-4,-4
23,5,3,4,0,-4,0,-4,0,-4,2,1,1983,7500,4,1,10,10,-4,10,2,76,-4,-4,-4,-4,-4,-4
24,3,1,1,0,-4,0,-4,0,-4,1,6,1984,7500,2,1,5,7,13,7,2,-4,-4,-4,-4,-4,-4,-4
25,5,-2,-2,0,-4,0,-4,0,-4,2,3,1983,7500,1,1,12,12,12,12,2,41,-4,-4,-4,-4,-4,-4
26,4,5,-2,0,-4,0,-4,0,-4,1,10,1980,7500,4,1,-3,12,-4,12,1,2,-4,-4,-4,-4,-4,-4
27,5,5,5,1,3,1,12,0,-4,1,5,1981,7500,4,1,8,10,-4,10,1,-4,-4,-4,-4,-4,-4,-4
28,1,1,1,0,-4,0,-4,0,-4,2,11,1983,7500,2,1,12,12,16,12,1,74,-4,-4,-4,-4,-4,-4
29,3,2,3,1,0,0,-4,0,-4,2,1,1983,3750,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
30,3,-2,-2,0,-4,0,-4,0,-4,1,6,1981,-3,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
31,3,1,1,0,-4,0,-4,0,-4,1,7,1982,-4,1,1,12,12,12,12,4,91,-4,-4,-4,-4,450,590
32,3,1,2,1,0,0,-4,0,-4,2,7,1981,-4,1,1,16,16,16,16,4,-3,-4,-4,-4,-4,-4,-4
33,4,3,3,0,-4,1,0,0,-4,2,12,1980,259500,1,1,16,14,16,14,4,96,-4,-4,-4,-4,-4,-4
34,1,1,1,1,0,1,0,0,-4,2,12,1984,17500,1,1,9,16,9,16,4,-4,-4,-4,-4,-4,-4,-4
35,-2,1,-2,0,-4,0,-4,0,-4,1,1,1983,-4,1,1,-3,-3,-3,-3,4,81,-4,-4,-4,-4,560,520
36,4,3,4,1,30,1,3,1,25,2,8,1980,66000,1,1,16,15,16,15,4,72,-4,-4,-4,-4,-4,-4
37,2,2,2,0,-4,0,-4,0,-4,2,11,1980,3000,1,1,11,-3,11,-3,4,78,-4,-4,-4,-4,540,630
38,3,2,-2,0,-4,0,-4,0,-4,2,9,1981,3000,1,1,11,-3,11,-3,4,72,-4,-4,-4,-4,-4,-4
39,3,2,3,1,1,1,4,1,0,1,2,1980,-3,1,1,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
40,1,1,1,0,-4,0,-4,0,-4,2,5,1984,-4,1,1,12,12,12,12,4,-4,-4,-4,-4,-4,-4,-4
41,1,1,1,0,-4,0,-4,0,-4,2,1,1983,-4,1,1,12,12,12,12,4,83,-4,-4,-4,-4,560,690
42,1,1,-2,0,-4,0,-4,0,-4,1,8,1983,-4,1,1,-3,-3,-3,-3,4,-4,-4,-4,-4,-4,-4,-4
43,4,1,1,0,-4,0,-4,0,-4,2,10,1981,7500,4,1,-4,-3,-4,-3,1,67,-4,-4,-4,-4,-4,-4
44,4,3,2,0,-4,0,-4,0,-4,1,12,1981,41250,1,1,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
45,3,1,1,0,-4,0,-4,0,-4,2,2,1984,500,4,1,-4,8,-4,8,1,63,-4,-4,-4,-4,-4,-4
46,3,3,3,0,-4,0,-4,0,-4,1,2,1984,500,4,1,-4,8,-4,8,1,-4,-4,-4,-4,-4,-4,-4
47,4,2,3,0,-4,0,-4,0,-4,2,9,1982,1750,8,1,-4,11,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
48,3,1,3,1,0,1,0,0,-4,2,7,1983,1750,8,1,-4,11,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
49,3,3,-2,0,-4,0,-4,0,-4,2,12,1982,-3,2,1,-3,12,-3,12,1,72,-4,-4,-4,-4,-4,-4
50,3,3,3,0,-4,0,-4,0,-4,2,2,1983,3750,4,1,-4,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
51,-2,-2,-2,0,-4,-1,-4,-1,-4,1,6,1980,3750,4,1,-4,12,-4,12,1,-3,-4,-4,-4,-4,-4,-4
52,-2,-2,-2,0,-4,0,-4,0,-4,1,12,1983,3750,4,1,-4,12,-4,12,1,63,-4,-4,-4,-4,-4,-4
53,1,-2,-2,0,-4,0,-4,0,-4,2,4,1984,7500,1,1,12,12,12,12,1,74,-4,-4,-4,-4,-4,-4
54,1,1,1,0,-4,0,-4,0,-4,2,12,1984,-3,8,1,-4,14,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
55,3,1,1,0,-4,0,-4,0,-4,2,2,1981,3500,1,1,12,10,12,10,2,-4,-4,-4,-4,-4,-4,-4
56,3,3,3,0,-4,1,2,0,-4,2,2,1982,488850,1,1,16,18,16,18,4,87,-4,-4,-4,-4,-4,-4
57,1,1,-2,0,-4,-1,-4,-1,-4,1,12,1982,-3,1,1,12,12,12,12,1,-3,-4,-4,-4,-4,-4,-4
58,1,1,3,1,1,0,-4,0,-4,1,11,1983,-1750,1,1,12,12,12,12,1,-4,-4,-4,-4,-4,-4,-4
59,1,1,1,0,-4,0,-4,0,-4,2,4,1981,73500,9,1,-4,16,-4,-4,1,81,-4,-4,-4,-4,-4,-4
60,1,1,1,0,-4,0,-4,0,-4,1,1,1984,19500,2,1,-4,14,12,14,4,86,-4,-4,-4,-4,260,460
61,4,2,1,0,-4,0,-4,0,-4,2,5,1983,37000,4,1,12,12,-4,12,1,69,-4,-4,-4,-4,-4,-4
62,2,1,1,0,-4,0,-4,0,-4,1,3,1980,158500,1,1,14,14,14,14,1,2,21,20,19,22,620,530
63,4,1,1,0,-4,0,-4,0,-4,2,10,1984,158500,1,1,14,14,14,14,1,2,15,12,17,18,-4,-4
64,4,3,3,0,-4,0,-4,0,-4,1,3,1980,-4,1,1,12,15,12,15,1,63,-4,-4,-4,-4,-4,-4
65,3,1,2,0,-4,0,-4,0,-4,1,4,1984,50751,1,1,-3,95,-3,95,1,2,-4,-4,-4,-4,-4,-4
66,3,1,2,0,-4,1,0,0,-4,1,10,1980,413500,10,1,12,-3,-4,18,1,91,-4,-4,-4,-4,-4,-4
67,3,1,2,0,-4,1,0,0,-4,1,11,1980,413500,4,1,12,18,-4,18,1,73,-4,-4,-4,-4,270,360
68,3,1,1,0,-4,0,-4,0,-4,1,1,1981,413500,10,1,12,-4,-4,18,1,62,-4,-4,-4,-4,-4,-4
69,2,1,2,0,-4,0,-4,0,-4,2,7,1981,-3,1,1,12,16,12,16,1,76,-4,-4,-4,-4,-4,-4
